Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³
Bayern;DEBY088;Trostberg/Schwimmbadstraße;vorstädtisches Gebiet;Hintergrund;8,6
Bayern;DEBY077;Würzburg/Kopfklinik;vorstädtisches Gebiet;Hintergrund;8,4
Bayern;DEBY075;Weiden i.d.OPf./Nikolaistraße;städtisches Gebiet;Hintergrund;10
Bayern;DEBY072;Tiefenbach/Altenschneeberg;ländlich regional;Hintergrund;5,6
Bayern;DEBY067;Schwandorf/Wackersdorfer Straße;vorstädtisches Gebiet;Hintergrund;8,4
Bayern;DEBY058;Nürnberg/Muggenhof;städtisches Gebiet;Hintergrund;9,4
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;städtisches Gebiet;Hintergrund;9,2
Bayern;DEBY049;Neustadt a.d. Donau/Eining;ländlich regional;Hintergrund;8,3
Bayern;DEBY039;München/Lothstraße;städtisches Gebiet;Hintergrund;8,1
Bayern;DEBY031;Kempten (Allgäu)/Westendstraße;vorstädtisches Gebiet;Hintergrund;8,7
Bayern;DEBY013;Mehring/Sportplatz;ländlich regional;Hintergrund;8,8
Bayern;DEBY012;Burghausen/Marktler Straße;vorstädtisches Gebiet;Hintergrund;9,5
Bayern;DEBY009;Bamberg/Löwenbrücke;städtisches Gebiet;Hintergrund;8,5
Bayern;DEBY007;Augsburg/Bourges-Platz;städtisches Gebiet;Hintergrund;9
Bayern;DEBY005;Aschaffenburg/Bussardweg;vorstädtisches Gebiet;Hintergrund;7,8
Bayern;DEBY004;Kleinwallstadt/Hofstetter Straße;vorstädtisches Gebiet;Hintergrund;9,2
Bayern;DEBY002;Arzberg/Egerstraße;vorstädtisches Gebiet;Hintergrund;8,6
Baden-Württemberg;DEBW107;Tübingen;vorstädtisches Gebiet;Hintergrund;7,3
Baden-Württemberg;DEBW087;Schwäbische Alb;ländlich regional;Hintergrund;5
Baden-Württemberg;DEBW084;Freiburg;städtisches Gebiet;Hintergrund;7
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;städtisches Gebiet;Hintergrund;7,3
Baden-Württemberg;DEBW052;Konstanz;städtisches Gebiet;Hintergrund;7,3
Baden-Württemberg;DEBW033;Pforzheim;städtisches Gebiet;Hintergrund;6,8
Baden-Württemberg;DEBW031;Schwarzwald-Süd;ländlich regional;Hintergrund;4,3
Baden-Württemberg;DEBW027;Reutlingen;städtisches Gebiet;Hintergrund;7
Baden-Württemberg;DEBW023;Weil am Rhein;vorstädtisches Gebiet;Hintergrund;7,4
Baden-Württemberg;DEBW019;Ulm;städtisches Gebiet;Hintergrund;7,7
Baden-Württemberg;DEBW015;Heilbronn;städtisches Gebiet;Hintergrund;7,7
Baden-Württemberg;DEBW013;Stuttgart-Bad Cannstatt;städtisches Gebiet;Hintergrund;7,8
Berlin;DEBE068;Berlin Mitte;städtisches Gebiet;Hintergrund;10
Berlin;DEBE051;Berlin Buch;vorstädtisches Gebiet;Hintergrund;8,6
Berlin;DEBE034;Berlin Neukölln;städtisches Gebiet;Hintergrund;11
Berlin;DEBE010;Berlin Wedding;städtisches Gebiet;Hintergrund;9,8
Brandenburg;DEBB109;Luckenwalde, 2019-2024;städtisches Gebiet;Hintergrund;9,5
Brandenburg;DEBB092;Frankfurt (Oder);vorstädtisches Gebiet;Hintergrund;9,4
Brandenburg;DEBB086;Blankenfelde-Mahlow;vorstädtisches Gebiet;Hintergrund;8,8
Brandenburg;DEBB083;Spremberg;vorstädtisches Gebiet;Hintergrund;9,7
Brandenburg;DEBB075;Potsdam, Groß Glienicke;vorstädtisches Gebiet;Hintergrund;7,5
Brandenburg;DEBB067;Nauen;vorstädtisches Gebiet;Hintergrund;8,4
Brandenburg;DEBB066;Spreewald;ländlich regional;Hintergrund;7,4
Brandenburg;DEBB065;Lütte (Belzig);ländlich regional;Hintergrund;6,6
Brandenburg;DEBB064;Cottbus;städtisches Gebiet;Hintergrund;9,4
Brandenburg;DEBB063;Wittenberge;vorstädtisches Gebiet;Hintergrund;7,2
Brandenburg;DEBB055;Brandenburg a.d. Havel;vorstädtisches Gebiet;Hintergrund;7,8
Brandenburg;DEBB053;Hasenholz (Buckow);ländlich regional;Hintergrund;7,8
Brandenburg;DEBB048;Neuruppin;vorstädtisches Gebiet;Hintergrund;8,3
Brandenburg;DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;8,2
Saarland;DESL003;Dillingen City;städtisches Gebiet;Industrie;8,9
Rheinland-Pfalz;DERP047;Trier-Pfalzel;vorstädtisches Gebiet;Industrie;9,9
Rheinland-Pfalz;DERP003;Ludwigshafen-Mundenheim;städtisches Gebiet;Industrie;11
Nordrhein-Westfalen;DENW338;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;12
Nordrhein-Westfalen;DENW329;Jackerath;ländliches Gebiet;Industrie;8,5
Nordrhein-Westfalen;DENW182;Elsdorf-Berrendorf;ländlich stadtnah;Industrie;8,9
Nordrhein-Westfalen;DENW181;Warstein;städtisches Gebiet;Industrie;7,8
Nordrhein-Westfalen;DENW116;Krefeld (Hafen);vorstädtisches Gebiet;Industrie;12
Nordrhein-Westfalen;DENW074;Niederzier;ländlich stadtnah;Industrie;8,6
